epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,229.797,0.96049,3.49423,1.08823,0.00756,0.7907,0.23438,0.19972,0.54575,3.05648,0.85922,0.00132,0.00044,0.00132,0.00044,0.00132,0.00044,0.00132,0.00044
2,417.558,0.72839,2.854,0.9456,0.00844,0.88372,0.50948,0.4497,0.48313,2.83586,0.82246,0.00264654,0.00088218,0.00264654,0.00088218,0.00264654,0.00088218,0.00264654,0.00088218
3,599.693,0.65039,1.59032,0.88389,0.96049,0.74419,0.77484,0.68597,0.60013,1.67866,0.83779,0.00391843,0.00130614,0.00391843,0.00130614,0.00391843,0.00130614,0.00391843,0.00130614
4,778.026,0.58504,1.16753,0.86111,0.97832,0.69767,0.79725,0.69749,0.601,1.60491,0.83369,0.00513568,0.00171189,0.00513568,0.00171189,0.00513568,0.00171189,0.00513568,0.00171189
5,933.07,0.57749,1.11152,0.84929,1,0.78599,0.80541,0.72453,0.50412,1.31772,0.81406,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,1094.73,0.55656,0.99852,0.85114,0.97064,0.7907,0.80512,0.72866,0.42397,0.91735,0.80897,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,1254.67,0.53571,0.87599,0.84355,0.97008,0.7907,0.79697,0.72428,0.41955,0.86999,0.83948,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,1418.97,0.50313,0.83543,0.85188,0.96926,0.7907,0.79564,0.71969,0.44674,0.82916,0.84812,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,1575.68,0.48159,0.78031,0.84139,0.99186,0.76744,0.78412,0.72847,0.4125,0.75166,0.8415,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,1745.35,0.48031,0.75624,0.84799,0.96829,0.76744,0.78782,0.72907,0.4153,0.72568,0.83639,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,1906.73,0.45811,0.70029,0.83259,0.99817,0.7907,0.79861,0.72544,0.41823,0.64087,0.82934,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,2067.44,0.46186,0.67992,0.84927,0.99822,0.7907,0.80834,0.74482,0.38433,0.61655,0.83127,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,2217.62,0.44626,0.64354,0.84812,0.99828,0.7907,0.80175,0.74143,0.36919,0.6053,0.83484,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,2372.41,0.45519,0.63583,0.84872,0.99772,0.7907,0.7962,0.75002,0.35346,0.58133,0.84035,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,2528.46,0.43243,0.60883,0.85051,0.99743,0.7907,0.79576,0.75065,0.35159,0.57302,0.84569,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,2682.96,0.42602,0.60371,0.83045,0.99801,0.7907,0.79576,0.73589,0.38808,0.57003,0.83893,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,2831.12,0.42946,0.60305,0.84251,0.9981,0.7907,0.79576,0.75548,0.35705,0.54697,0.84183,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,2987.23,0.40888,0.56243,0.83534,0.9976,0.7907,0.796,0.75092,0.34753,0.5328,0.83806,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,3144.04,0.41771,0.55795,0.83432,0.99811,0.7907,0.79601,0.75034,0.36833,0.52577,0.83584,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,3299.66,0.41326,0.55806,0.84602,0.99789,0.7907,0.7963,0.74577,0.35987,0.51826,0.83226,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,3448.75,0.38594,0.51001,0.82237,0.99825,0.7907,0.79634,0.74854,0.35138,0.50223,0.84663,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
