epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,459.559,1.06121,1.48849,1.13728,0.76048,0.42334,0.44621,0.27289,1.10035,1.68312,1.20419,0.000405702,0.000405702,0.000405702
2,919.043,0.93494,0.81574,1.04632,0.6875,0.41525,0.4358,0.25308,1.13262,1.3645,1.1807,0.000806086,0.000806086,0.000806086
3,1373.54,0.92988,0.74578,1.05014,0.50637,0.38645,0.44297,0.26809,1.19472,2.21408,1.28299,0.00118997,0.00118997,0.00118997
4,1841.09,0.89153,0.7063,1.02955,0.30067,0.39746,0.32227,0.20854,1.34512,1.72286,1.27207,0.00117575,0.00117575,0.00117575
5,2294.77,0.86155,0.62935,1.02248,0.82239,0.34594,0.43779,0.27723,1.3595,1.48641,1.30262,0.001151,0.001151,0.001151
6,2734.01,0.86805,0.58838,1.02576,0.73874,0.61261,0.6066,0.38423,1.09183,0.80541,1.13424,0.00112625,0.00112625,0.00112625
7,3177.37,0.81566,0.54964,1.00316,0.58995,0.65432,0.61498,0.40566,0.91569,0.66249,1.08453,0.0011015,0.0011015,0.0011015
8,3620.78,0.83041,0.55324,1.0023,0.68825,0.62043,0.63689,0.38928,1.05199,0.78243,1.14193,0.00107675,0.00107675,0.00107675
9,4058.72,0.7775,0.51764,0.97784,0.63696,0.65049,0.5906,0.40131,0.93312,0.75594,1.05091,0.001052,0.001052,0.001052
10,4501.66,0.78293,0.5204,0.98784,0.81975,0.63838,0.64195,0.4122,0.90411,0.66167,1.06088,0.00102725,0.00102725,0.00102725
11,4953.47,0.79583,0.51568,0.98828,0.70049,0.68369,0.68982,0.43503,0.9092,0.59691,1.0466,0.0010025,0.0010025,0.0010025
12,5414.47,0.76148,0.48746,0.96948,0.7457,0.6672,0.66213,0.4679,0.84317,0.55513,1.01672,0.00097775,0.00097775,0.00097775
13,5863.08,0.75159,0.48885,0.97774,0.73614,0.68881,0.69625,0.44199,0.87987,0.56351,1.04193,0.000953,0.000953,0.000953
14,6313.74,0.73698,0.47259,0.96573,0.71473,0.66261,0.63878,0.45105,0.87723,0.58957,1.01786,0.00092825,0.00092825,0.00092825
15,6768.59,0.73339,0.45809,0.97432,0.73066,0.6228,0.64038,0.44519,0.89411,0.59225,1.02078,0.0009035,0.0009035,0.0009035
16,7221.11,0.72668,0.45205,0.95631,0.83977,0.65815,0.67099,0.46519,0.80297,0.55284,0.97757,0.00087875,0.00087875,0.00087875
17,7675.28,0.69936,0.44595,0.94921,0.69708,0.74995,0.70558,0.48992,0.8282,0.52037,0.99028,0.000854,0.000854,0.000854
18,8132.7,0.71092,0.43966,0.94593,0.81463,0.74342,0.7324,0.50383,0.80531,0.54646,0.98938,0.00082925,0.00082925,0.00082925
19,8596.15,0.64031,0.41013,0.92432,0.83574,0.70297,0.72193,0.51244,0.77244,0.51999,0.96045,0.0008045,0.0008045,0.0008045
20,9050.54,0.64792,0.40886,0.93557,0.90106,0.70276,0.71725,0.50766,0.788,0.50367,0.98197,0.00077975,0.00077975,0.00077975
21,9504.68,0.65758,0.39581,0.92566,0.91137,0.65507,0.70931,0.49098,0.78658,0.51422,0.97393,0.000755,0.000755,0.000755
22,9948.74,0.66771,0.41281,0.93504,0.84169,0.76667,0.75369,0.53489,0.78171,0.48889,0.96312,0.00073025,0.00073025,0.00073025
23,10392.9,0.64952,0.40357,0.92337,0.79295,0.6327,0.67575,0.47859,0.77273,0.49708,0.97127,0.0007055,0.0007055,0.0007055
24,10843.7,0.63971,0.383,0.9247,0.81991,0.66752,0.69467,0.49917,0.7452,0.48505,0.952,0.00068075,0.00068075,0.00068075
25,11300.2,0.63234,0.37635,0.92667,0.90239,0.69154,0.71666,0.51487,0.72687,0.48176,0.95312,0.000656,0.000656,0.000656
26,11756.8,0.64161,0.38405,0.92594,0.86878,0.71058,0.7669,0.51148,0.7724,0.47433,0.9684,0.00063125,0.00063125,0.00063125
27,12205.6,0.64126,0.3752,0.91792,0.90878,0.70459,0.74972,0.52916,0.7746,0.49374,0.9605,0.0006065,0.0006065,0.0006065
28,12652.6,0.61109,0.36049,0.9186,0.72415,0.76108,0.73554,0.52639,0.72825,0.4766,0.95121,0.00058175,0.00058175,0.00058175
29,13099.5,0.62862,0.36905,0.9183,0.81937,0.74848,0.76035,0.5469,0.75012,0.4627,0.96005,0.000557,0.000557,0.000557
30,13542.1,0.60191,0.37256,0.91228,0.80817,0.77234,0.75981,0.5376,0.71495,0.44741,0.94315,0.00053225,0.00053225,0.00053225
31,13974.2,0.60212,0.35705,0.91751,0.82222,0.71565,0.73707,0.51613,0.73761,0.45839,0.95779,0.0005075,0.0005075,0.0005075
32,14413.7,0.58185,0.33955,0.89418,0.90884,0.76767,0.77332,0.54812,0.71942,0.45465,0.94473,0.00048275,0.00048275,0.00048275
