epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.274,1.03945,1.93571,1.11127,0.79182,0.37814,0.38773,0.23958,1.25892,1.54847,1.27874,0.000415965,0.000415965,0.000415965
2,705.244,0.94149,1.23542,1.03998,0.80813,0.39806,0.36465,0.23088,1.22636,1.42377,1.24113,0.000750201,0.000750201,0.000750201
3,1054.61,0.95833,1.02604,1.06804,0.86449,0.36411,0.45753,0.27402,1.16595,1.2496,1.24108,0.00100194,0.00100194,0.00100194
4,1404.82,0.8642,0.88077,1.01853,0.76878,0.51412,0.61067,0.33512,1.13653,0.92667,1.23076,0.00087875,0.00087875,0.00087875
5,1906.31,0.86859,0.87369,1.02352,0.59122,0.52397,0.59587,0.3279,1.08567,1.19127,1.16636,0.000755,0.000755,0.000755
6,2483.67,0.83299,0.80152,1.00989,0.82533,0.57685,0.66656,0.36878,1.06759,0.86055,1.18961,0.00063125,0.00063125,0.00063125
7,3057.51,0.77234,0.6926,0.95853,0.82046,0.65152,0.68147,0.38326,1.0292,0.8204,1.1412,0.0005075,0.0005075,0.0005075
8,3631.85,0.74701,0.66787,0.96945,0.84011,0.59689,0.64528,0.38058,1.01144,0.76841,1.1312,0.00038375,0.00038375,0.00038375
9,4034.54,0.71556,0.63127,0.94524,0.78235,0.66271,0.66133,0.38825,0.9859,0.75585,1.11818,0.00026,0.00026,0.00026
10,4374.52,0.65261,0.5799,0.92164,0.82344,0.6597,0.67216,0.40039,0.97595,0.7099,1.12299,0.00013625,0.00013625,0.00013625
