epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4326,1.84201,4.40546,1.49176,0.72055,0.22255,0.18575,0.11274,1.54156,2.74638,1.36686,0.000410256,0.000410256,0.000410256
2,82.4789,1.55487,3.26674,1.32215,0.81122,0.18529,0.17129,0.09184,1.5548,5.54854,1.26508,0.000745058,0.000745058,0.000745058
3,123.748,1.44963,4.23445,1.13455,0.59558,0.208,0.07745,0.03548,1.73543,3.48254,1.33852,0.000997359,0.000997359,0.000997359
4,164.392,1.50036,2.58565,1.20844,0.69359,0.23627,0.17635,0.10323,1.43312,3.23491,1.19472,0.00087875,0.00087875,0.00087875
5,206.266,1.4204,2.28196,1.16728,0.78421,0.29528,0.28982,0.16612,1.32649,2.13668,1.18159,0.000755,0.000755,0.000755
6,247.035,1.30026,2.47663,1.14899,0.81675,0.3017,0.3873,0.22785,1.34603,1.81768,1.1645,0.00063125,0.00063125,0.00063125
7,288.795,1.33393,1.98858,1.10399,0.78449,0.40362,0.43198,0.29152,1.23125,1.65889,1.10191,0.0005075,0.0005075,0.0005075
8,329.27,1.26228,2.00527,1.13093,0.85971,0.36292,0.43095,0.31137,1.2457,1.85549,1.08765,0.00038375,0.00038375,0.00038375
9,369.784,1.27481,1.88606,1.0622,0.81874,0.37875,0.42661,0.30562,1.26113,1.81917,1.08697,0.00026,0.00026,0.00026
10,411.687,1.1828,1.74236,1.04475,0.83424,0.40813,0.43412,0.30653,1.26299,1.71397,1.08937,0.00013625,0.00013625,0.00013625
