epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.848,0.7496,1.92573,0.92101,0.9111,0.64362,0.63508,0.55489,0.6691,0.88269,0.93229,0.000415815,0.000415815,0.000415815
2,620.878,0.68864,0.84778,0.88487,0.69285,0.6437,0.61807,0.51892,0.68799,0.75932,0.9275,0.000750066,0.000750066,0.000750066
3,909.018,0.69464,0.69371,0.89852,0.69065,0.6437,0.6224,0.55193,0.60748,0.67523,0.88035,0.00100182,0.00100182,0.00100182
4,1237.68,0.62865,0.60661,0.86759,0.68228,0.6437,0.6628,0.58076,0.65275,0.63481,0.90548,0.00087875,0.00087875,0.00087875
5,1556.63,0.62754,0.55133,0.86836,0.68821,0.64285,0.6378,0.57153,0.5861,0.59541,0.87972,0.000755,0.000755,0.000755
6,1924.06,0.56221,0.46992,0.84429,0.68027,0.64383,0.64828,0.59707,0.50716,0.6041,0.86151,0.00063125,0.00063125,0.00063125
7,2295.69,0.56527,0.48051,0.85261,0.6553,0.62466,0.64393,0.60281,0.50478,0.9083,0.86325,0.0005075,0.0005075,0.0005075
8,2657.5,0.52208,0.44382,0.83518,0.6891,0.6499,0.66699,0.6135,0.50791,0.53116,0.86096,0.00038375,0.00038375,0.00038375
9,3028.09,0.48667,0.3891,0.81913,0.68853,0.64382,0.674,0.61779,0.4508,0.4944,0.84584,0.00026,0.00026,0.00026
10,3394.1,0.49394,0.38667,0.82801,0.69146,0.6422,0.67926,0.63181,0.48797,0.51135,0.86037,0.00013625,0.00013625,0.00013625
