epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.011,1.1492,1.73917,1.16527,0.87524,0.37781,0.40844,0.2491,1.17038,1.30363,1.20758,0.000405702,0.000405702,0.000405702
2,444.21,0.94344,0.82417,1.02895,0.60124,0.43025,0.39987,0.24277,1.16682,1.31614,1.17303,0.000806086,0.000806086,0.000806086
3,666.399,0.92378,0.72885,1.0175,0.75234,0.51486,0.56933,0.31548,1.1155,1.05858,1.18274,0.00118997,0.00118997,0.00118997
4,888.468,0.87244,0.67582,0.9929,0.71628,0.55845,0.59744,0.37139,1.00147,1.00989,1.10845,0.00117575,0.00117575,0.00117575
5,1110.01,0.84372,0.60404,0.97994,0.83721,0.37955,0.49811,0.31963,1.0273,1.24827,1.12086,0.001151,0.001151,0.001151
6,1331.69,0.8354,0.58408,0.97438,0.7495,0.57707,0.62275,0.41766,0.96333,0.74409,1.0373,0.00112625,0.00112625,0.00112625
7,1553.6,0.80623,0.56062,0.9662,0.77146,0.5762,0.60875,0.42437,0.8798,0.64629,1.00836,0.0011015,0.0011015,0.0011015
8,1776.49,0.81184,0.55323,0.95775,0.80979,0.60375,0.65719,0.44394,0.87199,0.69436,1.0043,0.00107675,0.00107675,0.00107675
9,1997.98,0.77159,0.52428,0.93995,0.80406,0.65903,0.70148,0.49325,0.8188,0.63036,0.96985,0.001052,0.001052,0.001052
10,2219.33,0.7539,0.52056,0.94165,0.79941,0.60632,0.63476,0.43342,0.82483,0.66709,0.97951,0.00102725,0.00102725,0.00102725
11,2440.98,0.76971,0.51688,0.94328,0.81385,0.68054,0.70964,0.48579,0.85972,0.61262,0.98518,0.0010025,0.0010025,0.0010025
12,2662.41,0.73337,0.48365,0.92773,0.84335,0.66418,0.70571,0.49333,0.81903,0.5818,0.97232,0.00097775,0.00097775,0.00097775
13,2884.11,0.73587,0.48842,0.9359,0.86383,0.68498,0.70131,0.48273,0.82168,0.58628,0.97573,0.000953,0.000953,0.000953
14,3105.92,0.73299,0.48249,0.93053,0.76385,0.64346,0.64324,0.42352,0.98741,0.64495,1.01906,0.00092825,0.00092825,0.00092825
15,3327.72,0.7193,0.45983,0.92805,0.87129,0.73218,0.72568,0.49946,0.81808,0.55189,0.97872,0.0009035,0.0009035,0.0009035
16,3549.61,0.71159,0.46033,0.91902,0.7543,0.697,0.71563,0.48024,0.83735,0.59393,0.9887,0.00087875,0.00087875,0.00087875
17,3770.68,0.68508,0.4391,0.91537,0.80345,0.73046,0.74701,0.49531,0.90286,0.5635,1.0033,0.000854,0.000854,0.000854
18,3993.48,0.69057,0.4341,0.90958,0.83257,0.70942,0.73541,0.49867,0.80746,0.53309,0.96449,0.00082925,0.00082925,0.00082925
19,4216.18,0.63932,0.40947,0.89707,0.84566,0.70913,0.71462,0.5031,0.77933,0.52247,0.95371,0.0008045,0.0008045,0.0008045
20,4444.09,0.64379,0.41939,0.90216,0.73972,0.77684,0.72706,0.51868,0.76645,0.5316,0.94515,0.00077975,0.00077975,0.00077975
21,4670.7,0.66693,0.40611,0.90573,0.80769,0.71938,0.73629,0.52795,0.72856,0.5051,0.93219,0.000755,0.000755,0.000755
22,4901.77,0.66256,0.41602,0.90258,0.86981,0.71328,0.72247,0.52472,0.73026,0.50923,0.93052,0.00073025,0.00073025,0.00073025
23,5125.85,0.64006,0.41193,0.89506,0.82905,0.74878,0.7577,0.52443,0.74701,0.4927,0.95168,0.0007055,0.0007055,0.0007055
24,5351.95,0.64742,0.4044,0.89697,0.84483,0.72441,0.72971,0.52426,0.71822,0.50785,0.92585,0.00068075,0.00068075,0.00068075
25,5581.06,0.63655,0.38757,0.9032,0.85051,0.74262,0.73414,0.52257,0.73863,0.4931,0.94161,0.000656,0.000656,0.000656
26,5806.02,0.6514,0.38808,0.90116,0.70478,0.73433,0.73597,0.53528,0.74572,0.49565,0.93528,0.00063125,0.00063125,0.00063125
27,6032.74,0.63768,0.38608,0.89001,0.86266,0.72896,0.74369,0.54034,0.76901,0.49208,0.93898,0.0006065,0.0006065,0.0006065
28,6257.03,0.61449,0.37406,0.89097,0.90209,0.72365,0.75256,0.54593,0.72649,0.46987,0.93616,0.00058175,0.00058175,0.00058175
29,6490.66,0.61575,0.37194,0.89094,0.74059,0.73582,0.70671,0.50331,0.7688,0.50016,0.94792,0.000557,0.000557,0.000557
30,6715.63,0.59402,0.3767,0.88039,0.7577,0.76238,0.72576,0.52886,0.73602,0.47652,0.93826,0.00053225,0.00053225,0.00053225
31,6938.58,0.59897,0.36664,0.88953,0.90468,0.69861,0.7225,0.53104,0.71155,0.47482,0.93516,0.0005075,0.0005075,0.0005075
32,7160.16,0.59167,0.35452,0.8765,0.85072,0.71018,0.73566,0.51633,0.72618,0.48882,0.93421,0.00048275,0.00048275,0.00048275
33,7381.8,0.6046,0.36236,0.89477,0.85831,0.75087,0.75492,0.54624,0.72404,0.47513,0.93485,0.000458,0.000458,0.000458
34,7610.66,0.60438,0.36922,0.88821,0.83593,0.72479,0.75325,0.54338,0.71779,0.45405,0.9384,0.00043325,0.00043325,0.00043325
35,7835.72,0.57899,0.34513,0.87831,0.85314,0.72511,0.73657,0.54406,0.70102,0.46117,0.92773,0.0004085,0.0004085,0.0004085
36,8058.11,0.57824,0.34116,0.87487,0.87171,0.69424,0.73736,0.54465,0.73072,0.46865,0.93218,0.00038375,0.00038375,0.00038375
37,8280.39,0.56912,0.33571,0.8697,0.88382,0.71006,0.73805,0.54161,0.69855,0.47482,0.92503,0.000359,0.000359,0.000359
38,8501.77,0.57388,0.34996,0.87131,0.77594,0.76771,0.75283,0.55495,0.71303,0.46081,0.93298,0.00033425,0.00033425,0.00033425
39,8724.82,0.54441,0.32752,0.87197,0.73873,0.76771,0.74148,0.55142,0.70233,0.4645,0.93085,0.0003095,0.0003095,0.0003095
40,8949.16,0.53144,0.32009,0.86376,0.84479,0.71291,0.7323,0.55034,0.69558,0.46183,0.92445,0.00028475,0.00028475,0.00028475
41,9171.7,0.53565,0.31509,0.86892,0.87744,0.71034,0.75675,0.56425,0.67791,0.45629,0.91779,0.00026,0.00026,0.00026
42,9393.72,0.5423,0.32132,0.87309,0.86924,0.71877,0.74868,0.56441,0.68091,0.44131,0.91694,0.00023525,0.00023525,0.00023525
43,9615.13,0.52533,0.31368,0.87188,0.88905,0.7445,0.74749,0.55631,0.68353,0.44886,0.91835,0.0002105,0.0002105,0.0002105
44,9837.42,0.54743,0.32132,0.87517,0.91183,0.75167,0.77017,0.57147,0.667,0.43764,0.91187,0.00018575,0.00018575,0.00018575
45,10059.6,0.50581,0.31671,0.84031,0.90895,0.75452,0.77446,0.57479,0.67105,0.43941,0.91524,0.000161,0.000161,0.000161
46,10282.1,0.51958,0.30464,0.87072,0.78783,0.7514,0.76464,0.55873,0.66288,0.43477,0.91358,0.00013625,0.00013625,0.00013625
47,10505.1,0.50129,0.29033,0.86597,0.82143,0.76271,0.76517,0.57721,0.66069,0.4366,0.91333,0.0001115,0.0001115,0.0001115
48,10727.7,0.52805,0.3013,0.87385,0.90603,0.74456,0.77409,0.57901,0.66331,0.43107,0.91323,8.675e-05,8.675e-05,8.675e-05
49,10950.5,0.51313,0.292,0.8601,0.91705,0.74397,0.78073,0.57964,0.66421,0.4315,0.9124,6.2e-05,6.2e-05,6.2e-05
50,11172.8,0.49719,0.28831,0.85883,0.78685,0.7955,0.77883,0.5749,0.66575,0.42713,0.91234,3.725e-05,3.725e-05,3.725e-05
